permno,prc,ticker,comnam,ym
84398,109.9400024414063,SPY,SPDR TRUST,2009m11
84788,6.795500183105469,AMZN,AMAZON COM INC,2009m11
86868,169.6600036621094,GS,GOLDMAN SACHS GROUP INC,2009m11
84398,111.4400024414063,SPY,SPDR TRUST,2009m12
84788,6.726000213623047,AMZN,AMAZON COM INC,2009m12
86868,168.8399963378906,GS,GOLDMAN SACHS GROUP INC,2009m12
84398,107.3899993896484,SPY,SPDR S & P 500 E T F TRUST,2010m1
84788,6.270500183105469,AMZN,AMAZON COM INC,2010m1
86868,148.7200012207031,GS,GOLDMAN SACHS GROUP INC,2010m1
84398,110.7399978637695,SPY,SPDR S & P 500 E T F TRUST,2010m2
84788,5.920000076293945,AMZN,AMAZON COM INC,2010m2
86868,156.3500061035156,GS,GOLDMAN SACHS GROUP INC,2010m2
84398,117,SPY,SPDR S & P 500 E T F TRUST,2010m3
84788,6.788500213623047,AMZN,AMAZON COM INC,2010m3
86868,170.6300048828125,GS,GOLDMAN SACHS GROUP INC,2010m3
84398,118.8125,SPY,SPDR S & P 500 E T F TRUST,2010m4
84788,6.855000305175781,AMZN,AMAZON COM INC,2010m4
86868,145.1999969482422,GS,GOLDMAN SACHS GROUP INC,2010m4
84398,109.3690032958984,SPY,SPDR S & P 500 E T F TRUST,2010m5
84788,6.272999954223633,AMZN,AMAZON COM INC,2010m5
86868,144.2599945068359,GS,GOLDMAN SACHS GROUP INC,2010m5
84398,103.2200012207031,SPY,SPDR S & P 500 E T F TRUST,2010m6
84788,5.463000106811523,AMZN,AMAZON COM INC,2010m6
86868,131.2700042724609,GS,GOLDMAN SACHS GROUP INC,2010m6
84398,110.2699966430664,SPY,SPDR S & P 500 E T F TRUST,2010m7
84788,5.894499969482422,AMZN,AMAZON COM INC,2010m7
86868,150.8200073242188,GS,GOLDMAN SACHS GROUP INC,2010m7
84398,105.3099975585938,SPY,SPDR S & P 500 E T F TRUST,2010m8
84788,6.241500091552735,AMZN,AMAZON COM INC,2010m8
86868,136.9299926757813,GS,GOLDMAN SACHS GROUP INC,2010m8
84398,114.129997253418,SPY,SPDR S & P 500 E T F TRUST,2010m9
84788,7.852999877929688,AMZN,AMAZON COM INC,2010m9
86868,144.5800018310547,GS,GOLDMAN SACHS GROUP INC,2010m9
84398,118.4899978637695,SPY,SPDR S & P 500 E T F TRUST,2010m10
84788,8.261499786376953,AMZN,AMAZON COM INC,2010m10
86868,161.1300048828125,GS,GOLDMAN SACHS GROUP INC,2010m10
84398,118.4925003051758,SPY,SPDR S & P 500 E T F TRUST,2010m11
84788,8.769999694824218,AMZN,AMAZON COM INC,2010m11
